county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
06089,Shasta,CA,2024,2024-12-31,794.63,0.008272956820748245,0.008272956820748245,384.9019132961976,A,hpi,hpi_at_county.csv
06091,Sierra,CA,2024,2024-12-31,318.44,0.07890902930713195,0.07890902930713195,318.44,A,hpi,hpi_at_county.csv
06093,Siskiyou,CA,2024,2024-12-31,476.51,0.0074420178016447736,0.0074420178016447736,400.5968894493485,A,hpi,hpi_at_county.csv
06095,Solano,CA,2024,2024-12-31,1562.2,0.03637461273609022,0.03637461273609022,402.53549434409547,A,hpi,hpi_at_county.csv
06097,Sonoma,CA,2024,2024-12-31,1959.37,0.022395575151973546,0.022395575151973546,421.9415552253591,A,hpi,hpi_at_county.csv
06099,Stanislaus,CA,2024,2024-12-31,1392.13,0.0442959162240828,0.0442959162240828,383.11638275036466,A,hpi,hpi_at_county.csv
06101,Sutter,CA,2024,2024-12-31,1102.5,0.04971008007312272,0.04971008007312272,429.77429540404637,A,hpi,hpi_at_county.csv
06103,Tehama,CA,2024,2024-12-31,565.29,0.04195159714670149,0.04195159714670149,411.8388459857205,A,hpi,hpi_at_county.csv
06105,Trinity,CA,2024,2024-12-31,316.95,0.04534960422163592,0.04534960422163592,316.95,A,hpi,hpi_at_county.csv
06107,Tulare,CA,2024,2024-12-31,1072.12,0.04792344759503053,0.04792344759503053,400.0,A,hpi,hpi_at_county.csv
06109,Tuolumne,CA,2024,2024-12-31,783.57,0.00926092892655661,0.00926092892655661,349.8080357142857,A,hpi,hpi_at_county.csv
06111,Ventura,CA,2024,2024-12-31,2189.76,0.05836636056065747,0.05836636056065747,362.40504443672114,A,hpi,hpi_at_county.csv
06113,Yolo,CA,2024,2024-12-31,1916.97,0.035875239114223634,0.035875239114223634,436.01191830050493,A,hpi,hpi_at_county.csv
06115,Yuba,CA,2024,2024-12-31,705.9,0.03633560889671883,0.03633560889671883,478.18723750169346,A,hpi,hpi_at_county.csv
